Date,Year,Month,Quarter,Revenue,COGS,Gross_Profit,Sales_Marketing,Admin_Expenses,RD_Expenses,Total_OPEX,EBITDA,Depreciation,EBIT,Interest_Expense,Net_Income,Gross_Margin,EBITDA_Margin,Net_Margin
2022-01-01,2022,1,Q1,524835.7076505616,337514.9078554656,187320.79979509598,85523.95759220893,53976.96339895751,25012.86486131119,164513.78585247762,22807.01394261836,10496.714153011231,12310.299789607128,4198.685661204493,6083.710596301977,0.35691321505855916,0.04345553019765833,0.01159164764824375
2022-02-01,2022,2,Q1,503293.152152541,366880.89869097184,136412.25346156914,83218.86570101512,36719.20351892207,27895.325153311052,147833.39437324824,-11421.140911679104,10065.86304305082,-21487.003954729924,4026.345217220328,-19135.01187896269,0.27103935922463046,-0.022692820005263094,-0.03801961500394732
2022-03-01,2022,3,Q1,506829.1153593769,317636.6550336673,189192.4603257096,78477.03778486971,26000.737221232896,16599.069976766903,121076.8449828695,68115.6153428401,10136.582307187538,57979.03303565257,4054.632922875015,40443.30008458316,0.37328648767851286,0.13439562424218945,0.07979671818164208
2022-04-01,2022,4,Q2,516885.6235379514,309799.7630410334,207085.86049691797,80781.44209976563,34310.68102608732,18544.286384001083,133636.40950985404,73449.45098706393,10337.712470759028,63111.738516304904,4135.084988303611,44232.49014600097,0.40064155601672113,0.1421000075109867,0.08557500563324003
2022-05-01,2022,5,Q2,633282.4384460778,404484.5766841782,228797.86176189955,95847.65428948474,37128.57499263296,28216.64172995162,161192.8710120693,67604.99074983023,12665.648768921556,54939.34198090868,5066.259507568622,37404.81185500504,0.3612888150243267,0.10675330096902191,0.05906497572676644
2022-06-01,2022,6,Q2,580546.1294854933,343944.74084381165,236601.38864168164,91444.12003094298,41213.21335906547,27333.8896998987,159991.22308990714,76610.1655517745,11610.922589709866,64999.24296206463,4644.369035883947,45266.155444635515,0.40754967887111515,0.13196223635091658,0.07797167726318745
2022-07-01,2022,7,Q3,503923.20244967716,374220.3793205611,129702.82312911609,75452.44907316912,32318.780017191966,29341.15478514113,137112.38387550222,-7409.560746386123,10078.464048993543,-17488.024795379664,4031.385619597417,-16139.557811232811,0.2573860907745531,-0.014703749917381622,-0.032027812438036214
2022-08-01,2022,8,Q3,489562.035751304,323327.90757659083,166234.12817471317,54246.70345774374,29411.520870776374,25441.85966149126,109100.08399001136,57134.04418470181,9791.24071502608,47342.803469675724,3916.496286010432,32569.73038774897,0.33955682024976214,0.1167044011021429,0.06652830082660717
2022-09-01,2022,9,Q3,656923.3289997706,432628.9549380651,224294.3740617055,97019.05825677382,49586.83568877191,23133.41057087316,169739.30451641887,54555.06954528662,13138.466579995411,41416.60296529121,5255.386631998164,27120.912249969788,0.3414315859405015,0.08304632692577991,0.04128474519433494
2022-10-01,2022,10,Q4,599007.7895802646,375558.7526277924,223449.03695247218,102515.65739791092,51008.07364782749,19389.641614962453,172913.37266070087,50535.6642917713,11980.155791605292,38555.50850016601,4792.0623166421165,25322.584637642925,0.37303193854798933,0.0843656212337114,0.04227421592528356
2022-11-01,2022,11,Q4,732824.6183167138,462226.1131475332,270598.50516918063,100002.39061741906,65349.741108885006,44196.64923141379,209548.78095771786,61049.72421146277,14656.492366334278,46393.231845128495,5862.596946533711,30397.97617394609,0.36925411402081576,0.08330741446936238,0.041480560852021786
2022-12-01,2022,12,Q4,782720.406551391,475924.6302103104,306795.7763410806,112567.52425196896,66506.93223966837,46771.81111267397,225846.2676043113,80949.50873676932,15654.40813102782,65295.1006057415,6261.763252411128,44275.00301499778,0.39196087616113195,0.1034207209358792,0.0565655407019094
2023-01-01,2023,1,Q1,656041.2881077355,420336.8395600634,235704.44854767207,83890.16478764926,40711.8890310455,38132.56927682964,162734.6230955244,72969.82545214766,13120.825762154709,59848.999689992954,5248.330304861884,40950.5020388483,0.35928294883319073,0.11122748945057939,0.062420617087934546
2023-02-01,2023,2,Q1,762812.0014285411,493081.2916802614,269730.70974827977,129731.93898108914,65162.864615112005,33219.54915971281,228114.35275591398,41616.35699236579,15256.240028570823,26360.11696379497,6102.496011428329,15193.21571427498,0.3536005060790167,0.05455650529151296,0.019917378968634717
2023-03-01,2023,3,Q1,728069.7802754208,529235.2544291456,198834.52584627515,108688.78991285469,75333.12886250118,17329.916590648743,201351.83536600458,-2517.3095197294315,14561.395605508415,-17078.705125237844,5824.558242203366,-17177.44752558091,0.2730981716767014,-0.003457511337412138,-0.023593133503059104
2023-04-01,2023,4,Q2,766095.1252187612,501296.14812428714,264798.977094474,110332.90731088459,62342.07227135294,23078.087695817176,195753.06727805472,69045.9098164193,15321.902504375223,53724.00731204408,6128.761001750089,35696.43473272049,0.34564764658809144,0.09012707109538518,0.04659530332153888
2023-05-01,2023,5,Q2,729016.4056081244,486877.7098093293,242138.69579879515,130900.64092856093,52653.900073756064,30556.769277022682,214111.31027933967,28027.385519455478,14580.32811216249,13447.057407292989,5832.131244864996,5711.194621820994,0.33214437142441267,0.038445479832618916,0.007834109874464184
2023-06-01,2023,6,Q2,729912.1478207732,507851.0523760828,222061.09544469038,114286.01074411924,52592.79570323831,40242.00873614091,207120.81518349846,14940.280261191918,14598.242956415465,342.0373047764533,5839.297182566185,-4122.944908342299,0.3042298941148963,0.02046860064707464,-0.005648549514694021
2023-07-01,2023,7,Q3,697368.4897206619,487064.6430246006,210303.84669606132,94813.47934247993,52361.96033298022,32133.985780463787,179309.42545592395,30994.421240137366,13947.369794413238,17047.05144572413,5578.947917765296,8601.077645969126,0.30156775047335543,0.04444482608119059,0.012333619560892945
2023-08-01,2023,8,Q3,640641.8273340547,425902.5395376014,214739.28779645334,99441.13263219847,51300.484599835676,30529.22806875762,181270.84530079179,33468.442495661555,12812.836546681096,20655.60594898046,5125.134618672438,11647.85349773102,0.3351939861467712,0.05224205018728796,0.018181537640465973
2023-09-01,2023,9,Q3,729231.4628974793,458663.0606793033,270568.402218176,104386.35526976152,49562.8296315402,35285.42699024732,189234.61189154902,81333.79032662697,14584.629257949586,66749.16106867738,5833.851703179835,45686.48202412316,0.37103226613826795,0.11153357262378773,0.06265017946784078
2023-10-01,2023,10,Q4,835202.5428407269,621649.0158945407,213553.5269461862,128196.53809012352,70042.80454587728,41138.352960516255,239377.69559651706,-25824.16865033086,16704.050856814538,-42528.2195071454,6681.620342725815,-36907.37988740341,0.25569070493947343,-0.030919648020343166,-0.04418973601525738
2023-11-01,2023,11,Q4,807467.5831585528,523783.47430660203,283684.10885195073,122092.81631486717,94432.22898222714,38820.12672466903,255345.17202176337,28338.936830187362,16149.351663171055,12189.585167016307,6459.740665268422,4297.383376310913,0.3513256937724608,0.03509606753417219,0.005322050650629138
2023-12-01,2023,12,Q4,946085.1038283487,613313.3030761442,332771.8007522045,119799.38792298858,91904.92292318563,54418.18160443175,266122.49245060596,66649.30830159853,18921.702076566973,47727.60622503156,7568.680830626789,30119.194045803575,0.3517355884852621,0.07044747669305967,0.03183560751979475
2024-01-01,2024,1,Q1,899551.5973521523,543806.4914002683,355745.10595188406,160170.45686600445,53048.567346403055,50256.66222906237,263475.6864414699,92269.41951041418,17991.031947043048,74278.38756337113,7196.412778817219,50311.48108841543,0.3954693727397369,0.10257268152489643,0.055929511143672304
2024-02-01,2024,2,Q1,984522.7812904989,591179.5289494776,393343.2523410213,136527.75687783453,80233.4580899721,44269.30655149961,261030.52151930626,132312.73082171506,19690.45562580998,112622.27519590508,7876.182250323992,78559.56970918582,0.39952681625653436,0.13439275691343713,0.07979456768507785
2024-03-01,2024,3,Q1,812466.8284466934,530888.6956248269,281578.1328218664,104608.29368424014,70769.01837715338,33153.32450648499,208530.6365678785,73047.49625398792,16249.336568933868,56798.15968505405,6499.734627573547,37723.818793110375,0.3465718512596985,0.08990828141703096,0.04643121106277321
2024-04-01,2024,4,Q2,982496.720250877,600145.6786207673,382351.04163010966,141046.02036980953,90588.90758906998,37031.63447284187,268666.56243172137,113684.47919838829,19649.93440501754,94034.54479337075,7859.9737620070155,64630.928273522804,0.38916266461681187,0.11570977984471986,0.06578233488353989
2024-05-01,2024,5,Q2,931372.9967302064,666264.3210851443,265108.6756450621,109762.61996219384,77089.28459020291,48989.12800528806,235841.0325576848,29267.643087377306,18627.45993460413,10640.183152773177,7450.983973841651,2391.899384198645,0.2846428622858785,0.031424191156634265,0.0025681433674756985
2024-06-01,2024,6,Q2,974091.1435888655,572914.106706648,401177.0368822175,120388.76969235497,85553.57133518414,51597.458579224076,257539.79960676318,143637.23727545433,19481.822871777313,124155.41440367702,7792.729148710924,87272.01394122458,0.41184753554390413,0.14745769758900434,0.08959327319175325
2024-07-01,2024,7,Q3,866272.1782655645,578082.8381274744,288189.3401380901,118159.09680310999,72319.69800349357,45852.41421161948,236331.20901822305,51858.13111986703,17325.44356531129,34532.68755455574,6930.177426124516,20701.88259632342,0.3326775895251512,0.059863553766319154,0.023897665324739366
2024-08-01,2024,8,Q3,836354.1861888135,621652.637166744,214701.54902206955,133378.97086749497,51963.059891502955,47308.82289982343,232650.85365882135,-17949.304636751796,16727.08372377627,-34676.38836052807,6690.833489510508,-31025.416387528934,0.2567112744427622,-0.021461367603772118,-0.03709602570282909
2024-09-01,2024,9,Q3,931265.916488634,641972.0989605275,289293.8175281065,161269.0989477753,63037.17124890338,55534.889363671566,279841.15956035024,9452.65796775627,18625.31832977268,-9172.66036201641,7450.1273319090715,-12467.090770444112,0.3106457698128774,0.01015033171556176,-0.013387251213328682
2024-10-01,2024,10,Q4,1015639.046346825,701911.1999722624,313727.8463745626,190874.99727242382,77512.73742591601,43126.71352568971,311514.44822402956,2213.3981505330303,20312.7809269365,-18099.38277640347,8125.1123707746,-19668.371360383553,0.3088969920002755,0.0021793157308144582,-0.01936551320188916
2024-11-01,2024,11,Q4,1062076.7063705963,647027.20411692,415049.5022536763,157673.74736378796,90401.07999642398,56042.50384688456,304117.33120709646,110932.17104657984,21241.534127411927,89690.63691916791,8496.613650964771,60895.51745115235,0.390790514248272,0.10444836082100427,0.05733627061575319
2024-12-01,2024,12,Q4,1172995.0786969813,763209.3589123646,409785.7197846167,210049.02818902503,89182.98885178377,90557.20439117799,389789.2214319868,19996.498352629947,23459.901573939627,-3463.40322130968,9383.960629575851,-9635.522888164149,0.34934990540610467,0.017047384695631468,-0.008214461478276402
